"sales1_name","chan1_name","dma1_name","dma2_name"
"Product B","TV Cable","Washington, DC","Tier 2"
"Product B","TV Spot","Baltimore","Tier 3"
"Product B","TV Spot","Boston","Tier 2"
"Product B","TV Spot","New York","Tier 1"
"Product B","TV Spot","Norfolk","Tier 3"
"Product B","TV Spot","Palm Springs","Tier 4"
"Product B","TV Spot","Philadelphia","Tier 1"
"Product B","TV Spot","Pittsburgh","Tier 3"
"Product B","TV Spot","Providence","Tier 3"
"Product B","TV Spot","Richmond","Tier 3"
"Product B","TV Spot","Syracuse","Tier 4"
"Product B","TV Spot","Tampa","Tier 2"
"Product B","TV Spot","Washington, DC","Tier 2"
