"bdgt_id","dma2_name","chan1_name","dma1_name","client_id","chan1_id","dma2_id","dma1_id","week_id","percent_max","sp_max_h","sp_min_h"
"26_15_345_21",NULL,NULL,NULL,12,26,15,345,21,NULL,NULL,NULL
"26_15_345_22",NULL,NULL,NULL,12,26,15,345,22,NULL,NULL,NULL
"26_15_345_23",NULL,NULL,NULL,12,26,15,345,23,NULL,NULL,NULL
"26_15_345_24",NULL,NULL,NULL,12,26,15,345,24,NULL,NULL,NULL
"26_15_345_25",NULL,NULL,NULL,12,26,15,345,25,NULL,NULL,NULL
"26_15_345_26",NULL,NULL,NULL,12,26,15,345,26,NULL,NULL,NULL
"26_15_345_27",NULL,NULL,NULL,12,26,15,345,27,NULL,NULL,NULL
"26_15_345_28",NULL,NULL,NULL,12,26,15,345,28,NULL,NULL,NULL
"26_15_345_29",NULL,NULL,NULL,12,26,15,345,29,NULL,NULL,NULL
"26_15_345_3",NULL,NULL,NULL,12,26,15,345,3,NULL,NULL,NULL
"26_15_345_30",NULL,NULL,NULL,12,26,15,345,30,NULL,NULL,NULL
"26_15_345_31",NULL,NULL,NULL,12,26,15,345,31,NULL,NULL,NULL
"26_15_345_32",NULL,NULL,NULL,12,26,15,345,32,NULL,NULL,NULL
"26_15_345_33",NULL,NULL,NULL,12,26,15,345,33,NULL,NULL,NULL
"26_15_345_34",NULL,NULL,NULL,12,26,15,345,34,NULL,NULL,NULL
"26_15_345_35",NULL,NULL,NULL,12,26,15,345,35,NULL,NULL,NULL
"26_15_345_36",NULL,NULL,NULL,12,26,15,345,36,NULL,NULL,NULL
"26_15_345_37",NULL,NULL,NULL,12,26,15,345,37,NULL,NULL,NULL
"26_15_345_38",NULL,NULL,NULL,12,26,15,345,38,NULL,NULL,NULL
"26_15_345_39",NULL,NULL,NULL,12,26,15,345,39,NULL,NULL,NULL
"26_15_345_4",NULL,NULL,NULL,12,26,15,345,4,NULL,NULL,NULL
"26_15_345_40",NULL,NULL,NULL,12,26,15,345,40,NULL,NULL,NULL
"26_15_345_41",NULL,NULL,NULL,12,26,15,345,41,NULL,NULL,NULL
"26_15_345_42",NULL,NULL,NULL,12,26,15,345,42,NULL,NULL,NULL
"26_15_345_43",NULL,NULL,NULL,12,26,15,345,43,NULL,NULL,NULL
"26_15_345_44",NULL,NULL,NULL,12,26,15,345,44,NULL,NULL,NULL
"26_15_345_45",NULL,NULL,NULL,12,26,15,345,45,NULL,NULL,NULL
"26_15_345_46",NULL,NULL,NULL,12,26,15,345,46,NULL,NULL,NULL
"26_15_345_47",NULL,NULL,NULL,12,26,15,345,47,NULL,NULL,NULL
"26_15_345_48",NULL,NULL,NULL,12,26,15,345,48,NULL,NULL,NULL
"26_15_345_49",NULL,NULL,NULL,12,26,15,345,49,NULL,NULL,NULL
"26_15_345_5",NULL,NULL,NULL,12,26,15,345,5,NULL,NULL,NULL
"26_15_345_50",NULL,NULL,NULL,12,26,15,345,50,NULL,NULL,NULL
"26_15_345_51",NULL,NULL,NULL,12,26,15,345,51,NULL,NULL,NULL
"26_15_345_52",NULL,NULL,NULL,12,26,15,345,52,NULL,NULL,NULL
"26_15_345_53",NULL,NULL,NULL,12,26,15,345,53,NULL,NULL,NULL
